date_month_start,international_arrivals_total
2008-01-01,399556
2008-02-01,411032
2008-03-01,414332
2008-04-01,395900
2008-05-01,366387
2008-06-01,352945
2008-07-01,330000
2008-08-01,339000
2008-09-01,286389
2008-10-01,296742
2008-11-01,279904
2008-12-01,358048
2009-01-01,370000
2009-02-01,342913
2009-03-01,303489
2009-04-01,305430
2009-05-01,292843
2009-06-01,279147
2009-07-01,271422
2009-08-01,314915
2009-09-01,304419
2009-10-01,227859
2009-11-01,387871
2009-12-01,376400
2010-01-01,416249
2010-02-01,446323
2010-03-01,473509
2010-04-01,432608
2010-05-01,350982
2010-06-01,375707
2010-07-01,410000
2010-08-01,427935
2010-09-01,383463
2010-10-01,440071
2010-11-01,428295
2010-12-01,449570
2011-01-01,506424
2011-02-01,529315
2011-03-01,475733
2011-04-01,460000
2011-05-01,480886
2011-06-01,446966
2011-07-01,460000
2011-08-01,552234
2011-09-01,286618
2011-10-01,518477
2011-11-01,611864
2011-12-01,593408
2012-01-01,630000
2012-02-01,681849
2012-03-01,561877
2012-04-01,620000
2012-05-01,615523
2012-06-01,417429
2012-07-01,466000
2012-08-01,525292
2012-09-01,460238
2012-10-01,495576
2012-11-01,655701
2012-12-01,614673
2013-01-01,651812
2013-02-01,570476
2013-03-01,587366
2013-04-01,613919
2013-05-01,558751
2013-06-01,567291
2013-07-01,658325
2013-08-01,676719
2013-09-01,614827
2013-10-01,628695
2013-11-01,731034
2013-12-01,722349
2014-01-01,776174
2014-02-01,842026
2014-03-01,709725
2014-04-01,745980
2014-05-01,674204
2014-06-01,539776
2014-07-01,564736
2014-08-01,618588
2014-09-01,590881
2014-10-01,559002
2014-11-01,608617
2014-12-01,657304
2015-01-01,700692
2015-02-01,756000
2015-03-01,617895
2015-04-01,690440
2015-05-01,576868
2015-06-01,529445
2015-07-01,593566
2015-08-01,664985
2015-09-01,626324
2015-10-01,649099
2015-11-01,732740
2015-12-01,760798
2016-01-01,815200
2016-02-01,843726
2016-03-01,830608
2016-04-01,799612
2016-05-01,767373
2016-06-01,710574
2016-07-01,856438
2016-08-01,909866
2016-09-01,823135
2016-10-01,822145
2016-11-01,936779
2016-12-01,897279
2017-01-01,1007238
2017-02-01,1199421
2017-03-01,1005821
2017-04-01,1071650
2017-05-01,972844
2017-06-01,949362
2017-07-01,1036880
2017-08-01,1229163
2017-09-01,975952
2017-10-01,1024899
2017-11-01,1172568
2017-12-01,1276353
2018-01-01,1430242
2018-02-01,1431845
2018-03-01,1343314
2018-04-01,1341913
2018-05-01,1161114
2018-06-01,1183102
2018-07-01,1188817
2018-08-01,1323546
2018-09-01,1212597
2018-10-01,1205157
2018-11-01,1301909
2018-12-01,1374235
2019-01-01,1501766
2019-02-01,1588161
2019-03-01,1410187
2019-04-01,1468766
2019-05-01,1326668
2019-06-01,1185445
2019-07-01,1315792
2019-08-01,1512447
2019-09-01,1561274
2019-10-01,1618337
2019-11-01,1809580
2019-12-01,1710168
2020-01-01,1994125
2020-02-01,1242731
2020-03-01,449923
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,0
2020-08-01,0
2020-09-01,0
2020-10-01,0
2020-11-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,0
2021-05-01,0
2021-06-01,0
2021-07-01,0
2021-08-01,0
2021-09-01,0
2021-10-01,0
2021-11-01,400
2021-12-01,3100
2022-01-01,19727
2022-02-01,29517
2022-03-01,41740
2022-04-01,101373
2022-05-01,172948
2022-06-01,236677
2022-07-01,352579
2022-08-01,486407
2022-09-01,431909
2022-10-01,484355
2022-11-01,596919
2022-12-01,707071
2023-01-01,871162
2023-02-01,932969
2023-03-01,895425
2023-04-01,984146
2023-05-01,916257
2023-06-01,975010
2023-07-01,1038563
2023-08-01,1217421
2023-09-01,1054449
2023-10-01,1112526
2023-11-01,1233371
2023-12-01,1371135
2024-01-01,1512313
2024-02-01,1531411
2024-03-01,1599074
2024-04-01,1556533
2024-05-01,1383703
2024-06-01,1249237
2024-07-01,1151432
2024-08-01,1446809
2024-09-01,1274804
2024-10-01,1419833
2024-11-01,1711512
2024-12-01,1747240
2025-01-01,2070466
2025-02-01,1893933
2025-03-01,2054309
2025-04-01,1654681
2025-05-01,1528352
2025-06-01,1462867
2025-07-01,1562588
2025-08-01,1684972
2025-09-01,1523388
2025-10-01,1732942
2025-11-01,1978174
2025-12-01,2021619
2026-01-01,2453724
2026-02-01,2228372
